time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
194,REQ_880,VNF_8->VNF_2->VNF_4,5,5,0,164.3333,91.0000,130.3333,13,2.60,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.6293
195,REQ_886,VNF_6->VNF_3->VNF_4,5,5,0,80.0000,56.0000,100.0000,14,2.80,True,False,True,resource_aware,,,0.7273
196,REQ_892,VNF_4->VNF_2->VNF_3,5,5,0,116.6667,65.0000,200.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.6142
197,REQ_900,VNF_7->VNF_5->VNF_1,5,5,0,286.0000,70.0000,139.3333,10,2.00,True,False,False,,,,0.6391
198,REQ_905,VNF_8->VNF_6->VNF_7,5,5,0,380.0000,60.0000,120.0000,10,2.00,True,False,True,smart_greedy,,,0.6468
199,REQ_908,VNF_7->VNF_3->VNF_2,5,5,0,107.6667,56.0000,102.0000,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6251
200,REQ_910,VNF_1->VNF_6->VNF_7,5,5,0,260.6667,105.0000,68.0000,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.6620
201,REQ_915,VNF_6->VNF_7->VNF_2,5,5,0,260.0000,85.0000,138.6667,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.6622
202,REQ_918,VNF_2->VNF_4->VNF_8,5,5,0,226.6667,128.0000,180.0000,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6882
203,REQ_919,VNF_4->VNF_7->VNF_3,5,5,0,154.0000,65.0000,132.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.6309
204,REQ_926,VNF_5->VNF_2->VNF_6,5,5,0,175.0000,108.0000,175.0000,18,3.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6448
205,REQ_933,VNF_4->VNF_7->VNF_6,5,5,0,354.6667,98.0000,158.6667,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.6172
206,REQ_938,VNF_6->VNF_2->VNF_5,5,5,0,154.0000,95.0000,161.3333,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.6650
207,REQ_944,VNF_1->VNF_2->VNF_6,5,5,0,246.6667,112.0000,126.6667,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6301
208,REQ_946,VNF_3->VNF_2->VNF_8,5,5,0,106.6667,60.0000,113.3333,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.6463
209,REQ_953,VNF_8->VNF_6->VNF_7,5,5,0,312.0000,160.0000,96.0000,20,4.00,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.6239
210,REQ_955,VNF_5->VNF_1->VNF_3,5,5,0,88.6667,44.0000,101.3333,11,2.20,True,False,True,"resource_aware,resource_aware",,,0.5991
211,REQ_956,VNF_8->VNF_5->VNF_1,5,5,0,333.0000,104.0000,189.0000,13,2.60,True,False,True,"smart_greedy,resource_aware",,,0.6141
212,REQ_962,VNF_5->VNF_2->VNF_4,5,5,0,82.3333,60.0000,114.0000,15,3.00,True,False,True,resource_aware,,,0.6525
213,REQ_968,VNF_1->VNF_6->VNF_7,5,5,0,381.3333,136.0000,95.3333,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6831
