request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
REQ_1469,VNF_1->VNF_5->VNF_6,5,5,0,136.0000,70.0000,79.3333,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4620
REQ_1471,VNF_4->VNF_7->VNF_1,5,5,0,187.0000,108.0000,68.0000,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4541
REQ_1473,VNF_8->VNF_3->VNF_1,5,5,0,268.3333,144.0000,176.3333,18,3.60,True,False,True,resource_aware,,,0.4621
REQ_1474,VNF_7->VNF_4->VNF_8,5,5,0,190.0000,119.0000,80.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4591
REQ_1479,VNF_7->VNF_3->VNF_5,5,5,0,107.6667,48.0000,114.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4577
REQ_1489,VNF_2->VNF_8->VNF_3,5,5,0,234.6667,112.0000,256.6667,14,2.80,True,False,True,"smart_greedy,resource_aware",,,0.4661
REQ_1494,VNF_8->VNF_1->VNF_3,5,5,0,138.0000,85.0000,84.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4662
REQ_1497,VNF_1->VNF_4->VNF_8,5,5,0,246.6667,112.0000,100.0000,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4602
REQ_1502,VNF_7->VNF_6->VNF_1,5,5,0,220.0000,80.0000,53.3333,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4590
REQ_1510,VNF_1->VNF_7->VNF_4,5,5,0,221.0000,84.0000,79.3333,12,2.40,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4689
REQ_1516,VNF_5->VNF_7->VNF_3,5,5,0,290.0000,98.0000,310.0000,14,2.80,True,False,True,smart_greedy,,,0.4602
REQ_1519,VNF_7->VNF_1->VNF_3,5,5,0,222.0000,84.0000,126.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4697
REQ_1528,VNF_3->VNF_7->VNF_1,5,5,0,170.6667,90.0000,96.0000,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4837
REQ_1532,VNF_7->VNF_2->VNF_6,5,5,0,240.0000,90.0000,120.0000,15,3.00,True,False,True,resource_aware,,,0.4871
REQ_1539,VNF_4->VNF_2->VNF_6,5,5,0,272.0000,104.0000,224.0000,13,2.60,True,False,True,"smart_greedy,resource_aware",,,0.4890
REQ_1541,VNF_2->VNF_5->VNF_8,5,5,0,192.6667,120.0000,187.0000,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4748
REQ_1545,VNF_7->VNF_4->VNF_5,5,5,0,225.3333,108.0000,182.0000,18,3.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4843
