time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
95,REQ_420,VNF_8->VNF_7->VNF_6,5,5,0,190.0000,78.0000,60.0000,190.0000,72.0000,60.0000,5,12,0.4750,0.0750,0.2000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4696
96,REQ_424,VNF_3->VNF_2->VNF_5,5,5,0,60.0000,36.0000,110.0000,60.0000,28.0000,110.0000,4,7,0.1875,0.0500,0.4583,9,1.80,True,False,True,"smart_greedy,resource_aware",,,0.4310
97,REQ_431,VNF_7->VNF_3->VNF_1,5,5,0,160.0000,78.0000,90.0000,160.0000,66.0000,90.0000,6,11,0.3333,0.0750,0.2500,13,2.60,True,False,True,"smart_greedy,smart_greedy,resource_aware",,,0.4217
98,REQ_435,VNF_3->VNF_7->VNF_8,5,5,0,180.0000,98.0000,115.0000,180.0000,91.0000,115.0000,5,13,0.4500,0.0875,0.3833,14,2.80,True,False,True,"smart_greedy,smart_greedy",,,0.4209
99,REQ_439,VNF_7->VNF_2->VNF_3,5,5,0,120.0000,45.0000,110.0000,120.0000,30.0000,110.0000,2,6,0.7500,0.0625,0.9167,9,1.80,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.3939
100,REQ_445,VNF_6->VNF_1->VNF_4,5,5,0,140.0000,90.0000,60.0000,140.0000,48.0000,60.0000,3,8,0.5833,0.0750,0.3333,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4011
101,REQ_448,VNF_6->VNF_3->VNF_4,5,5,0,115.0000,70.0000,130.0000,115.0000,70.0000,130.0000,5,10,0.2875,0.0875,0.4333,10,2.00,True,False,True,"smart_greedy,resource_aware",,,0.3959
102,REQ_456,VNF_2->VNF_7->VNF_8,5,5,0,210.0000,98.0000,105.0000,210.0000,70.0000,105.0000,3,10,0.8750,0.0875,0.5833,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4001
103,REQ_460,VNF_7->VNF_2->VNF_8,5,5,0,125.0000,72.0000,60.0000,125.0000,68.0000,60.0000,5,17,0.3125,0.0500,0.2000,18,3.60,True,False,True,"smart_greedy,resource_aware",,,0.3992
104,REQ_464,VNF_4->VNF_3->VNF_6,5,5,0,135.0000,88.0000,150.0000,135.0000,88.0000,150.0000,6,11,0.2812,0.1000,0.4167,11,2.20,True,False,True,"smart_greedy,smart_greedy,smart_greedy",,,0.4061
105,REQ_467,VNF_4->VNF_1->VNF_6,5,5,0,90.0000,60.0000,40.0000,90.0000,40.0000,40.0000,4,10,0.2812,0.0500,0.1667,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4111
106,REQ_473,VNF_1->VNF_8->VNF_7,5,5,0,230.0000,84.0000,55.0000,230.0000,84.0000,55.0000,6,12,0.4792,0.0875,0.1528,12,2.40,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,resource_aware",,,0.4057
107,REQ_476,VNF_4->VNF_6->VNF_2,5,5,0,100.0000,80.0000,90.0000,100.0000,70.0000,90.0000,3,14,0.4167,0.0625,0.5000,16,3.20,True,False,True,"smart_greedy,resource_aware",,,0.4098
108,REQ_482,VNF_3->VNF_8->VNF_4,5,5,0,135.0000,72.0000,145.0000,135.0000,72.0000,145.0000,6,9,0.2812,0.1000,0.4028,9,1.80,True,False,True,"smart_greedy,smart_greedy,smart_greedy",,,0.4013
109,REQ_486,VNF_4->VNF_2->VNF_3,5,5,0,55.0000,40.0000,95.0000,55.0000,40.0000,95.0000,3,10,0.2292,0.0500,0.5278,10,2.00,True,False,True,resource_aware,,,0.4005
